Authors,Songs,PlayTime
the dreadnoughts,76,198:23:03
alan walker,37,126:24:58
blackmill,28,109:52:18
thefatrat,57,107:20:10
dragonforce,18,69:36:04
lin-manuel miranda,49,58:41:02
league of legends,30,52:12:51
instalok,108,33:22:37
feint,12,32:32:55
bo burnham,70,32:11:02
tim minchin,36,31:34:54
tristam,7,30:31:24
the longest johns,54,30:18:49
pentakill,18,30:16:34
pegboard nerds,13,29:47:39
sappheiros,14,27:34:25
pendulum,6,23:54:43
ac4,40,18:08:10
jeremy soule,52,18:04:27
sabaton,50,16:48:18
aljosha konstanty,7,16:03:25
aero chord,5,16:01:16
stepcat,5,14:38:58
impossible remix,15,12:37:04
cma,6,12:24:42
erb,39,12:24:04
andreas b,4,10:50:42
mitis,3,10:35:19
sub focus,2,10:28:56
rogue,4,9:43:21
pirates of the carribean,2,9:32:22
rameses b,8,9:20:37
chrono trigger,3,8:37:21
kisnou,6,8:31:07
dj ag,16,8:21:51
aurora b polaris,3,8:13:43
meiko,1,7:46:54
fabled,4,7:43:25
seven lions,1,7:26:29
stan rogers,18,7:18:13
tom day,2,7:11:27
emancipator,2,6:56:00
idle mind,2,6:11:58
amadeus,2,6:02:12
stellaris,40,6:00:31
bastille,2,5:57:26
noisestorm,3,5:50:48
jacoo,2,5:50:48
electus,5,5:49:16
starbound,25,5:48:25
audile,2,5:47:36
m83,1,5:33:28
the jolly roger,5,5:32:32
nitro fun,2,5:24:55
fun,1,5:24:55
george michael,2,5:24:10
alec benjamin,4,4:46:24
the lonely astronaut,1,4:39:45
subtract,1,4:35:24
one republic,1,4:33:34
b-complex,1,4:33:00
lensko,1,4:32:36
killigrew,2,4:25:35
lookz,2,4:21:30
gate,1,4:19:04
boney m,1,4:17:50
chase the tide,1,4:08:48
taylor swift,17,4:07:23
marshmello,2,4:00:33
irish rovers,2,3:48:32
reaktion,1,3:37:09
hereafter,1,3:35:54
dm dokuro,10,3:22:53
shockline,1,3:20:48
david quinn,1,3:18:20
queen,8,3:17:18
john williams,2,3:14:40
ampyx,1,3:14:00
sina,1,3:10:41
30 seconds to mars,1,3:10:00
aerocity,1,3:08:00
kipelov,1,3:07:38
kojak,2,3:03:11
rootkit,2,3:02:30
bob ross,1,3:01:00
capital cities,1,2:58:16
ronald jenkees,1,2:56:48
cartoon,1,2:47:38
time is up,1,2:47:12
priority one,1,2:47:12
selo i ludy,7,2:45:22
braken,1,2:44:58
chainsmokers,2,2:43:40
